"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31364","Verify the UI when large stock / Comment is added ""On Lot"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:43:54 IST 2025","failed","Fri Aug 08 15:44:26 IST 2025","","Retailer: Burlington Subaru","",""
"","102557","Verify the Edit Export Print functionality in ""In Transit"" Tab for Patrick Subaru","chromium","Fri Aug 08 15:10:45 IST 2025","broken","Fri Aug 08 15:12:27 IST 2025","","Retailer: Patrick Subaru","",""
"","86996","Verify the Exported file with all formats when filters and sort were applied..""On Order"" Tab for Center Subaru","chromium","Fri Aug 08 17:17:36 IST 2025","passed","Fri Aug 08 17:19:03 IST 2025","","Retailer: Center Subaru","",""
"","68506","Verify VIN Key popup ""Buy a Demo"" Tab for Center Subaru","chromium","Fri Aug 08 18:53:39 IST 2025","failed","Fri Aug 08 18:54:48 IST 2025","","Retailer: Center Subaru","",""
"","77026","Verify that the trim options displayed are relevant to the selected car model ""Buy a Demo"" Tab for Profile Subaru","chromium","Fri Aug 08 15:30:52 IST 2025","failed","Fri Aug 08 15:32:09 IST 2025","","Retailer: Profile Subaru","",""
"","28392","Verify the Edit Export Print functionality in ""On Order"" Tab for Burlington Subaru","chromium","Fri Aug 08 15:04:07 IST 2025","failed","Fri Aug 08 15:04:35 IST 2025","","Retailer: Burlington Subaru","",""
"","98169","Verify  the breadcrumb in ""In Transit"" Tab for Beard Subaru","chromium","Fri Aug 08 14:18:27 IST 2025","passed","Fri Aug 08 14:20:05 IST 2025","","Retailer: Beard Subaru","",""
"","50812","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""In Transit"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 16:27:12 IST 2025","passed","Fri Aug 08 16:28:02 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","49289","Verify the grid headers displayed. ""In Transit"" Tab for Reynolds Garage and Marine","chromium","Fri Aug 08 16:03:27 IST 2025","failed","Fri Aug 08 16:04:17 IST 2025","","Retailer: Reynolds Garage and Marine","",""
"","26926","Verify the Edit Export Print functionality in ""On Lot"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:04:45 IST 2025","failed","Fri Aug 08 15:05:12 IST 2025","","Retailer: Subaru of Wakefield","",""
